uname,sex,message,like,uid,location,emotion,sentiment_score
-棂元-,男,我已经在脑海里和你过完了一辈子。,23652,317704837,未知,非常积极,0.99 
买不起破站的房,男,复制一段我超喜欢的影评。我觉得这部电影最可取的是，描述的是两个精神独立个体的爱情，没有谁要去迎合谁，不以奉献和妥协为中心，不会为了融为一体而失去自己，爱情理所应当是陪伴和理解。,37661,32103630,未知,非常积极,1.00 
叫什么随意啦,保密,"在网易云lalaland原声的评论里，有个热评写：
Its about love
Its about dream
Its about the dream we love
Its about the love I dream
完全就是我看了这片子的感觉，完美概括。看了想哭
（不知道这几句是那位评论原创还是另有来源，不是我写的不是我写的不是我写的！如果原作者看到认为不合适我就删了这层）",12023,2930337,未知,非常消极,0.05 
Leefa莉法,女,welcome to Sebs,7429,27910184,未知,中性,0.50 
碎月之海,保密,这部片最神的剧情，也是最让人无法释怀的是，他俩分手不是因为身份格差父母反对误会第三者插足性格不合这些常见的理由，而是因为彼此都要追梦。,8224,3011231,未知,非常积极,0.97 
惬意竹,保密,当年艾玛斯通拿了奥斯卡最佳女主角，一步步走上领奖台，光彩照人，安德鲁加菲尔德就站在台下，不停地鼓掌，为她欢呼。看网上的新闻，说是爱乐之城的剧本，最初是加菲推荐给艾玛的。犹记得蜘蛛侠时期他们的你侬我侬，如今青春时光里曲终人散，各自开始了新的篇章，他注视着她封后的那一幕真的太像电影了，戏里戏外都是诗,6942,36992320,未知,非常积极,1.00 
蜜橙皮,女,"刚开始有个女性，估计是男主家人，在劝男主找稳定工作时，男主根本听不进去。
但他听到女主打电话给家里，女主的家人觉得他不可靠，女主还在为生计而奔波，他看看发霉的屋顶，他能带给女主的只有这些，所以他去签了那个乐队，因为他想给女主更好的生活。
男主一直在忙乐队的事，女主也在追逐自己的梦想，她看到舞台男主在表演爵士乐的时候，她为他开心，因为他实现了梦想，可舞台灯光亮起，她发现男主并不在梦想的道路上，这时她是有些失落的。
在演出到吵架这段时间，女主一直觉得男主是在赚钱养梦，就像女主的咖啡店服务员工作一样，可她没想到男主在这个赚钱养梦的兼职上花费了太多时间，多到完全远离梦想了。而女主为了离梦想更近，甚至辞掉咖啡店的工作。
女主和男主的灵魂契合就契合在梦想上，女主被在酒馆即使冒着被开除风险也要弹自己喜欢的音乐的男主所吸引，他们两个是同类，是与别人格格不入的同类，他们固执追逐着自己的梦想，坚持着，不与现实妥协，这也是他们吸引彼此的地方。所以在男主穷困潦倒时，女主与家人的电话中都一直为他辩解。而她看到与现实妥协，去演奏自己不喜欢音乐的男主时，她很失望，所以她点了出来。这恰好戳中了男主的伤口，男主也不愿意这样，不愿意妥协，可他签了合同没办法，女主此时的话就是男主的心声，他一直忍受着，一直去逃避，却被女主赤裸裸揭开了，所以男主这时恼羞成怒了，他开始责怪女主，因为她，他才想赚钱，要稳定工作，放弃梦想，一切都是因为爱她，顺便讽刺了一下正在追求演员梦的女主（他们是同类，所以男主实际上是在讽刺过去的自己，因为他此时无法改变现状，只能自我欺骗这样很好啊，来缓解他现在的焦虑）。梦想正是女主的软肋，她受不了，所以离开，她本以为男主是最能理解她的人，但是此时的男主背离了梦想，还拿女主最重要的梦想讽刺她。
女主演出并不顺利，男主也错过了演出，错过了最佳道歉时机，让一切无法挽回。
男主接电话，听到女主面试消息决定去找女主那一段我很感动，即使我们不再是恋人，我们也依旧是灵魂伴侣，我永远为你的梦想加油。
面试后，两人实际处于一个冷静阶段了，两人将来可能异地，男主忙着乐队的事连和女主见面都估计办不到，女主也要继续追梦，无暇顾及男主，分开是最好的决定。
最后在男主的琴声中他们幻想着如果没那么多遗憾。。。最后那一眼真的太有戏了！！",4840,1464824,未知,非常积极,1.00 
杰桀杰桀杰桀杰桀,保密,"这才是我最喜欢的爱情观2233娘喝水
而不是现在国内言情大肆宣扬的为爱自残小电视发愁",4703,52648578,未知,非常积极,1.00 
方方今年要下百,女,当年上映的时候，我舍友哭得稀里哗啦，我就只有一点点淡淡的难过和遗憾，她一边抹眼泪一边说，等你谈了恋爱你就懂了。转眼四年过去，我还是没懂，可恶啊辣眼睛辣眼睛辣眼睛,4049,5221563,未知,非常积极,1.00 
Leah-hu,保密,很多年轻情侣不愿意承认，他们在意关系，多过在意爱本身。因为你是我女朋友，所以我对你好，有一天你不是了，我便收起对你的好。脆弱的关系玷污了爱，也误导了人们，所有人都觉得爱越来越浅薄了。而真正的爱是有延续性的，它不会因关系终止而渺无音信。 have been doing,8514,305661775,未知,非常积极,1.00 
