uname,sex,message,like,uid,location
账号已注销,保密,我好佩服布兰德，在她自己看来，她应该一唯一幸存的人类了，父亲死去，朋友死去，爱人死去，她竟然真的在实施着planB，内心该有多坚韧...,25961,2524815,未知
哔哩哔哩放映员,女,克里斯托弗·诺兰执导的《星际穿越》将于8月2日在内地重映！在影院，再一次探索浩瀚宇宙[打call],38603,207539637,未知
裴豆豆本豆,女,我哭死了，明明父女那么浓厚的爱，时间也能磨平一切，墨菲放下了，但是对男主来说这才过了多久……,9713,13034662,未知
哈密顿圈,女,14年初二的时候和闺蜜看的 那时候我跟她说我要当物理学家 6年后重映还是和她一起 并且我读上了理论物理的研究生 方向是引力和暗物质,9281,21866244,未知
秋风慧慧,保密,"“这里时间是多少？”
“一小时，地球上过七年”
“好，我就在这里等作者更新！”[2233娘_耶]",79940,2476507,未知
孤雅居士,保密,请多多买这种好电影，我们不嫌多的[蛆音娘_滑稽],67828,3671397,未知
木鱼水心,男,很难有一部作品可以同时具有严谨的科学精神和深刻的人文关怀，而《星际穿越》做到了。这是诺兰最好的作品之一,53770,927587,未知
ヾ惊蟄,男,今年看了两遍了，这遍就让时间定格在这吧,116,37029242,重庆
加灵plus,女,布兰德因为“爱”执意去男友的星球，以前觉得不合理，现在想想还是有道理的。因为爱，所以男友不会害她。如果他的星球没有生存可能，又怎么舍得让女友去送死？就像曼恩博士，看似是本片的最大反派，其实从人性的角度来说太正常了，毕竟生物的本能就是活下去。但为什么，男主愿意牺牲自己让女主活下去？为什么他能成为女儿的ghost？归根结底还是因为爱。布兰德说，如果没有进化中的各种突变，人类走不到今天。这是一个隐喻？在星际穿越的世界观里，那些高维度的生物得到突变的机缘是什么？——爱这个字，放在科幻里总感觉有些煽情，但诺兰把它处理得非常好，每一个情节都在反扣主题。,6939,11623320,广西
莎酱HAHAHA,保密,太浪漫了。太空太荒凉、太孤寂了，无尽的星空让人心生惶恐。人类或许终将面临灭亡的结局，但是，请不要温和地走入那个良夜。,2802,23088585,未知
C_Ludwig,女,电影对汤姆着墨不多，但他实在令人心疼。他对于父亲是百分百信任，因为父亲临行前一句话就坚守故里几十年。女儿夭折，妻儿患病，他跟父亲说也许我应该放下你了，可能他早就知道父亲不会回来了，但父亲的玉米地，妹妹的书房却一直保留得好好的。妹妹沉睡了两年等待父亲归来，哥哥应该早就去世了，他最终也没能再见最爱的父亲一面,3955,167499898,未知
零Ryrin,保密,刚刚看完 抬头看时间已经2023年了 有种说不上来的感觉[Cat2_Astromeawt!],1671,43294802,新疆
Adistant,保密,[捂脸]今天来七刷，之前一直在想最后为啥库珀的女儿会叫他去那个星球上找布兰德，时间都不是过了好十几年了吗那岂不是意味着布兰德跟case多半都在那个星球上繁衍出新一代人类了吗，那哪里来的“alone”呢，结果今天才意识到布兰德是跟着库珀在黑洞边上一起被拉慢时间的她也一样过了好几十年[笑哭]有被自己蠢哭,2263,11308603,未知
cxran_,女,"因为是电影院复工《星际穿越》在内地复映 所以今天和朋友一起去看了这场电影 在我的旁边坐着一对母子 从开始孩子就一直在喧嚷 而家长仿佛视而不见 当电影到库伯看到了墨菲给他的录像 墨菲告诉他 她已经到了他离开时的年纪 孩子以全场都可以听到的声音喊“好假啊” 孩子的年龄已经不小了 大概已经四五年级了 而家长却没听见似的 没有制止 
在这里说这件事 只是呼吁 想让身边的更多人在观影时保持基本素养 不仅为了他人也是为了自己",1316,240801304,未知
小青耶,保密,看过那么多科幻片，这片子出来之后一直牢牢占据我心里no.1的位置，我觉得从没有哪部科幻片把人类刻画的这么好。人类的力量和宇宙法则相比多么渺小，和时间相比是多么渺小；渺小到根本无力扭转地球环境恶化的情况；渺小到只能用一代又一代人的血肉之躯，微不足道的寿命，前扑后继的去投入到可堪称悲壮的事业中去。宛若战场上慷慨赴死的战士，义无反顾用自己的尸体为身后的人筑起一道肉墙。可是即便人类在宇宙间是如此渺小的生物，也依旧会坚强的生存下去，抓住每一丝希望。在漆黑的良夜里，总会有不愿屈服于它，发出咆哮的人类；即便人类如此渺小，一个人的寿命短到还未来得及窥得宇宙真理的半分真面目就走到了尽头，即便一个人的痕迹随着时间流逝也总会消失，但唯爱永恒。唯有永恒的爱才能让人类的精神，故事，所追求的事业总会被延续下去，生生不息,618,77513397,未知
吃柚子eat,保密,"今年诺兰导演才53岁
他还有时间多拍电影好让我把膝盖跪烂[脱单doge]",268,381991193,山东
漂回星,女,看完球2又来刷一遍星际穿越，发现了更多的小细节，那块表从墨菲小时候就在打密码了，但是她一直没发现，还有布兰德本来想去男友的星球，因为爱人不会欺骗，但是男主不信，导致后面的后果，“爱能超越一切空间和维度”从头贯彻到尾,251,35299627,广东
俉冬,保密,感觉不开弹幕看比较好，大多都是看过的然后一直在议论角色，没看过的看弹幕好懵[囧],160,337390326,未知
钟楼的石像鬼,女,当年球一上映的时候节奏主要在星际穿越那里，我一开始还好奇为什么星际穿越会被针对，现在也想明白了，星际穿越本身就是个靶子而已，它特殊就特殊在它不像阿凡达有球jian论，借3D东风论，星战，沙丘有太空歌剧，软科幻论，星际穿越是少数几个在中国的社交媒体互联网世界有着普遍正向认同的美国科幻片，所以在不少路人眼里星际穿越就是世界第一科幻的象征——毕竟互联网提到它都是说好的啊，提到其他几个好歹有点争议，所以星际穿越成为了一个靶子，只要流浪地球可以超越它，流浪地球就是世界第一科幻，所以星际穿越是当年被球1针对的最严重的对象。,208,231420,江苏
藤丸-立香,保密,不要再吐槽音量问题了，这个音量是给电影院准备的，过大的音量会让整个影厅的音响发出剧烈的振动，让整个电影院变得像是震动的机舱，是诺兰加大代入感的一种做法。当时我在电影院看的时候真的觉得飞船起飞了一样。,3813,85894649,未知
暗鳥其實很甜,女,放过星际穿越吧[微笑],108,402631600,四川
內格剩qi视,男,全片我最佩服的是罗米利，一个人呆在太空二十三年，只有一个人甚至没有可以说话的对象，而且你不知道要等多少年，或者说你都不知道在等什么，队友失去消息二十几年了，几乎不可能还有希望了，时间已经没有意义了，你只会感受到一天一天的变老，我觉得如果换做我，我可能早就自杀了，这简直就是监狱比监狱还恐怖是地狱。,5244,1352110,未知
望北LookNorth,保密,"这部片绝对是当之无愧的科幻第一片，这部电影配和信条看你就会发现，他们的逻辑是基本一致的，诺兰最大的特点就是他的逻辑思维性，而他的电影最大的风格就是烧脑和音效带来的震撼感和差异感（可见《信条》《盗梦空间》）其真实性也是无可匹敌。最后，就是一些疑问（以下都是个人观点所以会有一些出入和错误）。
第一.为什么男主在最后的“五维空间”要去还原过去？
这里参考《信条》，引用一下电影原句：“他们不是让我们去改变历史”后面应该是“他们是让我们去完成历史”；就是男主去做那些是为了是过去的一切任然成立（这里《信条》最后用的也是一样的逻辑）为的是使在未来看来的过去的“时间节点”实现，也就是“完成历史”
二.为什么在后面“五维空间”中男主改变时间没问题，按理来说什么“祖父悖论”“平行宇宙”是不允许的。
这里，在诺兰的电影中，基本无视平行宇宙。关于“祖父悖论”，是因为“现在”和“未来”已经是成立的，所以你回到过去杀死祖父也是“历史”的一部分，也就是说你回到过去想杀死你祖父是注定的，无法避免的，而你确还是在“过去”的“未来”生了下来，是因为你没能成功杀死自己的祖父，所以你才生下来了。所以从某种方面来说祖父悖论在这里是无法成立的
三.这部电影中有很多像“引力”啊，“时空”啊，“黑洞虫洞”啊，感觉设定上都有一些bug。
这里大家多看看，看不懂正常，因为这是诺兰的电影啊，很烧脑，所以中间一些东西理解起来可能很难。这部电影是科幻电影，有些东西奇怪点是正常的。最关键的是，这个电影的顾问是诺贝尔奖得主（是凭借“引力波”得的奖，他还出了本书，叫《〈星际穿越〉里的科学》）这些问题想必人家都考虑到了，所以各位科学家们别争了！
4.最后planAB到底哪个实现了？
这里应该算俩个都实现了。planA主旨是地球人“移民”，而planB主旨是“殖民”，最后可见空间站是建在了土星边上，上面也有地球人活动也就是planA的“移民”成功。而planB也在最后实现了，最后一幕是布兰德在爱德蒙斯所在的星球，有俩个小细节，第一就是布兰德把头盔摘下来了证明是有氧气什么的；第二是在那个星球上是有三四个房屋，还有灯，证明已经有不少人住在里面了。通过上面几点可看出planB的“殖民”计划成功了。
   最后强力推荐诺兰电影《信条》。把这个和《星际穿越》连在一起看你就会发现诺兰的牛逼之处！！！",693,498539761,未知
智熄空枪,保密,离开的时候墨菲10岁，用两年去土星，墨菲12岁，到水球花了23年，墨菲35岁，黑洞转一圈花了51年，墨菲86岁。库珀去土星花2年，去水球花3个小时3分钟，去奇点花了30分钟。2年3个小时33分钟拯救世界失去儿女一辈子。,2718,2072683390,未知
惹到我算是踢到棉花拉,保密,这部电影是可以被分到  “只要没有第二部就永远是豆瓣9分列”  的范围的，像这样的完整且深刻的电影出续集就是在暴殄天物[黑洞][黑洞][黑洞],357,11285686,未知
Muted4ReaL,男,自从星际穿越上映之后，每年都会有人拿各种科幻片来踩星际穿越，可是星际穿越上映近十年过去了，它依然是二十一世纪公认最好的科幻片之一，这个地位从未动摇过,6739,1155987912,吉林
狼kiss小雪,男,看弹幕悖论悖论的，这明明是形成闭环，哪来的悖论[呆]，祖父悖论是我穿越回去杀了自己祖父，祖父被杀老早就死了，那自己就不会被生下来，所以我就不应该存在，但是我又还在，然后还回去杀了我祖父，这才是悖论！剧中是我在高纬度用引力给过去留下信息，我并没有杀死自己或者自己父母又或者女儿，而是变成过去的那个“幽灵”给过去的自己留下信息而已，填补了因，才有后来的果，这是个闭环关系。,354,34619026,未知
江田岛精神一哥,保密,个人觉得这里面的地球并不是真的要毁灭了，而是和以前物种大灭绝的时代一样，是周期性的环境恶化，但是持续时间可能要数万年甚至百万年才能恢复正常，人类根本等不起，只能选择外太空移民。,2027,101156411,未知
lJOY_,男,诚恳的说，作为一个基本科幻题材电影都会观看的我，这部电影一直都没有静下心欣赏过。今年看了破球2，发现影评有人提到了这部电影，重新欣赏之后，确实为之震撼。只能说破球2作为我国的科幻题材作品确实数一数二，但是星际穿越，确实还没办法比肩。不管是逻辑、结构，个人认为都是十分成熟且优秀的作品，在看完之后所有内容全部都自洽了，没有任何的疑点坑点，直让人头皮发麻。绝对称得上是神作了,491,388564930,辽宁
我抽到海恩艾尔文了吗,女,"怎么说呢，虽然看到最后那里有不少人解释“墨菲已经老了，所以已经放下了”，但是
“我回来了，墨菲”
“不，父母不应该看着自己的孩子死去，我现在有自己的孩子在这陪着，你走吧”
父亲看着女儿倒着走路退出病房，而女儿则望向自己的儿子女儿孙子孙女
看到这里我直接难过到爆炸，男主之前是多么想念女儿，进黑洞的一大目的就是为了和家人团聚，但最终见面父女只是稍微叙几句旧就松开了彼此的手，女儿老了，已经有了属于自己的家人们，而父亲呢？女儿是已经放下了，而父亲呢？别忘了父亲只是表面上是120多岁，心智仍是一个中年人，父亲表面看上去，或者他理性上也知道该放手了，所以只是在离开病房之前再多看几眼女儿，但我已经看破防了，在座的各位面对自己心爱的女儿有几位是会真正放得下的？
时光和阅历就像一堵墙，阻隔了哪怕是最爱的父女两人，看上去就跟隔了几代人一样，这就是穿越的代价吗？[难过]
但对于他们来说已经没有说放不放不下的时候了，因为女儿已经老了，或许女儿已经知道哪怕父亲来了也不会有多少时间陪伴，不希望父亲把时间再放在一个将死之人的身上，以及她认为的
“父亲不应该看着自己的孩子死去”
又因为还有一位和他一样的被名叫时光的墙相隔在另一个世界的人，所以才会说“你走吧”。
放不下也终究只能放下，我已经走到了终点，但你还没有，你还不行，你不能停留在这里。
或许确实是如此，父亲自从穿越了的那一刻就不再属于这个世界，而是属于宇宙，或者是另一个新世界，哪怕感到悲凉也好，孤独也好，也毅然朝向宇宙前进，去走向属于自己的那个终点",3601,11838450,未知
ATangWaguan,保密,我永远喜欢星际穿越[大哭],101,8306439,未知
丁可乐爱喝可乐,保密,终于理解为什么羡慕第一次看这部来自14年的神作的人了，看完第一生理反应就是脑子一片空白，没有语言能概括这种心情。缓过神来，真的诺兰导演把时间的种种可能性，墨菲定律通过天才般的手法展现给观众，不难理解天才为什么总和疯子相提并论，站在常人的角度一定不理解他们的思考问题角度。也特别致敬那些一直奋战在科研前线的科学家们。,2596,410090437,江苏
SolarMarine,男,智者欣赏，愚者比较,323,1195166940,江苏
拉曼缩小器,男,"星际穿越（the science of interstellar ）当初在美国上映不久就出版了基普索恩（本影片的科学顾问）所著的《星际穿越》，其序：
我希望，《星际穿越》这部被上亿人观赏了的影片，能够传递重要的信息：科学在处理严峻挑战时蕴含着巨大的力量；在挑战演化成重大危机前，用科学应对是非常重要的。这也正是克里斯托弗诺兰和乔纳森诺兰（本影片的前导演）所希望的。
看完电影后，我找到了这本书，硬着头皮看完了它。这本书几乎把影片中所有的物理原理，猜想，与科学相悖的地方都讲到了，电影后面的科学知识是巨大的，那些物理杠精都不用着急了，我本身就是物理专业，这本书应该能满足他们的所有要求了。",1745,475310189,未知
林有三i,男,"大刘一篇小说里曾写过，外星球会定期监控宇宙中的生命，但是，当他们检测到地球时感叹已经太晚了。
你们知道，他们看到了什么吗？
不是万户，不是爱因斯坦，不是霍金，不是人类探寻宇宙的一次次荣光……
而是，在几百万年前一个安静的夜晚，空旷荒凉的地球上的一个角落，一个古猿人，正在仰望星空。",2679,356181683,未知
粗壮送水工,男,真的不理解为什么老有人拿流浪地球和星际穿越比。真的完全不可以相提并论好不好。不可否认流浪地球是中国科幻电影之光，但是比星际穿越，真的差太远了。希望大家要正视差距，不要因为盲目鼓吹影响到了自己的审美和判断力，认识到差距才意味着将来不断进步的可能。,750,150423371,未知
bili_79080964915,女,比三体温柔太多，虽然库珀在黑洞中失去了几十年的时间，但是爱穿越了时间空间的纬度，最终汇聚。不像云天明和程心，等待千万年，终究是一场虐恋，战争抽干了宇宙的元气，即使重新轮回，结局也是相同。,1836,397099242,未知
三玖的耳机,保密,当人们的眼光都在关注着十月的番剧区时，电影区闷声发大财，反手一个超级加倍。,39512,88429555,未知
AAA鹈鹕镇酸菜批发,男,星际穿越是逆天的六边形战士，很难挑出大的缺点，所以有的人只能强行挑所谓的个人英雄主义和阿美莉卡拯救世界来贬低这部作品[藏狐],114,472206290,云南
MuyAndrea,保密,不明白这底下为什么要把流浪地球和星际穿越对立起来…这就跟看星际迷航非得跟看星球大战的打一架一样让我迷惑…作为科幻片观众，我都喜欢不可以吗[喜极而泣],1048,675162,上海
波江117,保密,"不要温和地走进那个良夜，
白昼告终时老人该燃烧、该狂喊；
该怒斥、怒斥那光明的逐渐消歇。
　　
聪明人临终时虽知黑暗理不缺，
由于他们的话语没迸出闪电，
他们也没有温和地走进那良夜。
　　
最后一浪过，善良人——喊叫说自己的事业
虽脆弱，本可以光辉地舞蹈在绿湾——
他们怒斥那光明的消歇。
　　
狂人们——抓住并歌唱太阳的奔跃，
懂得（太迟了！）他们使太阳在中途悲叹——
他们并不温和地走进那良夜。
　　
严肃的人们——临终时用盲目的视觉
见到瞎眼能放光如流星而欢忭——
他们也怒斥、怒斥那光明的消歇。
　　
而你呵，父亲，在高处心怀悲切，
请用烫泪诅咒我，祝福我，我祈盼。
不要温和地走进那个良夜。
该怒斥、怒斥那光明的消歇。",19036,1535568,未知
1vvl-lqwq,保密,我低估诺兰了，重温后再去看黑子说的量子爱化，才发现是多么可笑，传递信息的是引力，不是爱，引力不受时间和维度影响。是五维空间和三维世界互动的唯一媒介，主角是靠引力波操作手表和书架和女儿沟通的。爱只是一句台词，所谓的爱只不过是指父亲了解女儿 知道何时何地 以何种方式给女儿传达信息最合适，女儿从误解父亲到注意到父亲是ghost，跟电影里根本不是一个时间线，女儿的世界里她是几十年间自己想明白的,1449,291271791,广西
世界第一中场莫德里奇,保密,"《星际穿越》是由克里斯托弗·诺兰执导，马修·麦康纳、安妮·海瑟薇、杰西卡·查斯坦等主演的一部科幻电影，于2014年11月12日在中国大陆上映。该影片讲述了一队探险家利用他们针对虫洞的新发现，超越人类对于太空旅行的极限，从而开始在广袤的宇宙中进行星际航行的故事。

2015年，该片获得第87届奥斯卡金像奖最佳视觉效果奖。该片获得第68届英国电影学院奖最佳视觉特效奖，该片获得第41届土星奖-最佳科幻电影。",10828,349499326,未知
南极大鲤鱼,保密,"说一个知识点：
Eurake，男主女儿破解密码后高喊的单词。
据说，古希腊阿基米德泡澡时发现了“浮力定律”时，高兴的跑到大街上，高喊：“Eurake.”。
由此可见，这部片真的nb，台词方面也精心准备了",1972,210218388,未知
real章鱼,男,"MTIME 关于《星际穿越 Interstellar》你应该知道的20件事
 
1 乔纳森与克里斯的一位叔叔是工程师，参与制造过用在阿波罗计划飞船上的零件，他曾经给诺兰兄弟俩寄去一些录有火箭升空的超级8电影。
 
2 由于诺兰讨厌蓝幕的个性，剧本真的种植了500英亩的玉米地。
 
3“墨菲”的角色在乔纳森·诺兰的剧本中原先是个男孩，在电影中被改成了女孩。
 
4 影片中主人公女儿的名字墨菲来自著名的“墨菲定律”，这条定律的核心是“事情如果有变坏的可能，不管这种可能性有多小，它总会发生”。
 
5 马修表示自己没有试镜，只是到诺兰家跟导演聊了三小时，惺惺相惜。一周后，读过剧本，便确定加盟。
 
6 诺兰这样解释创作初衷，“小时候，成为一名宇航员是最崇高的梦想和最终极的野心。我怀念对不断探索和向着银河最深处前进的坚持。希望我们这次能够开启‘向外延伸’的新时代。”
 
7 物理学家基普·索恩在1997年产生了把“虫洞”拍摄成一部电影的想法，他的理论影响了在这一年推出的科幻影片《超时空接触》。
 
8 一开始，史蒂文·斯皮尔伯格有意执导本片，2007年他邀请克里斯托弗·诺兰的弟弟乔纳森编写剧本。6年之后，克里斯托弗·诺兰接手本片，但最终的剧本已经与乔纳森创作的版本有着很大区别。
 
9 诺兰的长期合作伙伴传奇影业与老东家华纳公司分道扬镳，为了得到投资本片的机会，传奇放弃了参与《超人大战蝙蝠侠》的计划。
 
10 电影拍摄期间曾使用假名《芙萝拉的信》，芙萝拉是诺兰女儿的名字。他之前作品的假名包括罗伊的初吻(黑暗骑士)、奥利弗之箭(盗梦空间)以及马努斯·雷克斯(黑暗骑士崛起)，里面也都是他孩子的名字。",8390,16954397,未知
